id,run_id,recorded_at,latency_s,buffer_ahead_s,dropped_frames,total_frames,stall_count,playback_rate
76,1,2026-08-24 12:28:59.508361-04,7.681,4.805408,0,2378,1,1.05
77,1,2026-08-24 12:29:00.507917-04,7.633,5.75687,0,2411,1,1.05
78,1,2026-08-24 12:29:01.509289-04,7.582,4.706391,0,2441,1,1.05
79,1,2026-08-24 12:29:02.507973-04,7.534,5.658005,0,2473,1,1.05
80,1,2026-08-24 12:29:03.508085-04,7.493,4.617467,0,2505,1,1.05
81,1,2026-08-24 12:29:04.507836-04,7.447,5.571058,0,2536,1,1.05
82,1,2026-08-24 12:29:05.508077-04,7.394,4.518507,0,2568,1,1.05
83,1,2026-08-24 12:29:06.508117-04,7.348,5.445871,0,2599,1,1.05
84,1,2026-08-24 12:29:07.509608-04,7.297,4.395051,0,2630,1,1.05
85,1,2026-08-24 12:29:08.508775-04,7.252,5.349294,0,2662,1,1.05
86,1,2026-08-24 12:29:09.509927-04,7.213,4.309727,0,2694,1,1.05
87,1,2026-08-24 12:29:10.508101-04,7.138,5.240004,0,2725,1,1.05
88,1,2026-08-24 12:29:11.508452-04,7.087,4.190602,0,2756,1,1.05
89,1,2026-08-24 12:29:12.507723-04,7.039,5.141807,0,2789,1,1.05
90,1,2026-08-24 12:29:13.511418-04,6.991,4.094562,0,2820,1,1.05
91,1,2026-08-24 12:29:14.508194-04,6.947,5.049817,0,2851,1,1.05
92,1,2026-08-24 12:29:15.508411-04,6.907,4.010601,0,2882,1,1
93,1,2026-08-24 12:29:16.515178-04,6.891,5.014727,0,2913,1,1
94,1,2026-08-24 12:29:17.508433-04,6.892,4.016024,0,2942,1,1
95,1,2026-08-24 12:29:18.513921-04,6.895,4.996821,0,2973,1,1
96,1,2026-08-24 12:29:19.509687-04,6.895,3.998625,0,3003,1,1
97,1,2026-08-24 12:29:20.512083-04,6.9,5.002505,0,3033,1,1
98,1,2026-08-24 12:29:21.536541-04,6.9,4.003457,0,3062,1,1
99,1,2026-08-24 12:29:22.51238-04,6.906,5.008106,0,3092,1,1
100,1,2026-08-24 12:29:23.508828-04,6.907,4.010532,0,3122,1,1
101,1,2026-08-24 12:29:24.511867-04,6.892,5.016464,0,3152,1,1
102,1,2026-08-24 12:29:25.508798-04,6.892,4.016773,0,3182,1,1
103,1,2026-08-24 12:29:26.507679-04,6.895,5.018427,0,3212,1,1
104,1,2026-08-24 12:29:27.510054-04,6.896,4.02015,0,3242,1,1
105,1,2026-08-24 12:29:28.510722-04,6.901,5.024109,0,3272,1,1
106,1,2026-08-24 12:29:29.510088-04,6.902,4.026605,0,3302,1,1
107,1,2026-08-24 12:29:30.508014-04,6.907,5.010457,0,3332,1,1
108,1,2026-08-24 12:29:31.509016-04,6.906,4.009162,0,3362,1,1
109,1,2026-08-24 12:29:32.508808-04,6.912,5.013929,0,3392,1,1
110,1,2026-08-24 12:29:33.507977-04,6.91,4.013622,0,3422,1,1
111,1,2026-08-24 12:29:34.508617-04,6.918,5.01882,0,3452,1,1
112,1,2026-08-24 12:29:35.509029-04,6.916,4.018115,0,3482,1,1
113,1,2026-08-24 12:29:36.508508-04,6.9,5.024534,0,3512,1,1
114,1,2026-08-24 12:29:37.511921-04,6.901,4.024496,0,3542,1,1
115,1,2026-08-24 12:29:38.533554-04,6.908,5.010822,0,3572,1,1
116,1,2026-08-24 12:29:39.513145-04,6.908,4.010627,0,3602,1,1
117,1,2026-08-24 12:29:40.50742-04,6.913,5.01534,0,3632,1,1
118,1,2026-08-24 12:29:41.531652-04,6.911,4.013523,0,3662,1,1
119,1,2026-08-24 12:29:42.507418-04,6.897,4.998798,0,3692,1,1
120,1,2026-08-24 12:29:43.507604-04,6.896,3.999409,0,3722,1,1
121,1,2026-08-24 12:29:44.511246-04,6.904,5.004903,0,3752,1,1
122,1,2026-08-24 12:29:45.509007-04,6.902,4.004493,0,3782,1,1
123,1,2026-08-24 12:29:46.509065-04,6.908,5.010235,0,3812,1,1
124,1,2026-08-24 12:29:47.530237-04,6.89,4.008573,0,3842,1,1
125,1,2026-08-24 12:29:48.508528-04,6.891,5.01313,0,3872,1,1
126,1,2026-08-24 12:29:49.507737-04,6.889,4.013837,0,3902,1,1
127,1,2026-08-24 12:29:50.508546-04,6.895,5.018511,0,3932,1,1
128,1,2026-08-24 12:29:51.507677-04,6.895,4.018129,0,3962,1,1
129,1,2026-08-24 12:29:52.508138-04,6.901,5.024579,0,3992,1,1
130,1,2026-08-24 12:29:53.507609-04,6.902,4.026852,0,4022,1,1
131,1,2026-08-24 12:29:54.508288-04,6.909,5.032107,0,4052,1,1
132,1,2026-08-24 12:29:55.507128-04,6.908,4.032532,0,4082,1,1
133,1,2026-08-24 12:29:56.508714-04,6.911,5.00725,0,4112,1,1
134,1,2026-08-24 12:29:57.508122-04,6.912,4.009811,0,4142,1,1
135,1,2026-08-24 12:29:58.50937-04,6.92,5.015355,0,4172,1,1
136,1,2026-08-24 12:29:59.508827-04,6.917,4.014115,0,4202,1,1
137,1,2026-08-24 12:30:00.508618-04,6.897,4.999144,0,4232,1,1
138,1,2026-08-24 12:30:01.507864-04,6.895,3.998561,0,4262,1,1
139,1,2026-08-24 12:30:02.50933-04,6.902,5.003197,0,4292,1,1
140,1,2026-08-24 12:30:03.50786-04,6.9,4.003191,0,4322,1,1
141,1,2026-08-24 12:30:04.508981-04,6.907,5.00904,0,4352,1,1
142,1,2026-08-24 12:30:05.508237-04,6.906,4.007697,0,4382,1,1
143,1,2026-08-24 12:30:06.507218-04,6.89,5.012639,0,4412,1,1
144,1,2026-08-24 12:30:07.507864-04,6.89,4.013698,0,4442,1,1
145,1,2026-08-24 12:30:08.508563-04,6.897,4.99938,0,4472,1,1
146,1,2026-08-24 12:30:09.507343-04,6.898,4.001354,0,4502,1,1
147,1,2026-08-24 12:30:10.506675-04,6.903,5.004745,0,4532,1,1
148,1,2026-08-24 12:30:11.508876-04,6.903,4.006026,0,4562,1,1
149,1,2026-08-24 12:30:12.508543-04,6.907,5.009439,0,4592,1,1
150,1,2026-08-24 12:30:13.508123-04,6.908,4.010458,0,4622,1,1
151,1,2026-08-24 12:30:14.508388-04,6.893,5.016212,0,4652,1,1
152,1,2026-08-24 12:30:15.507269-04,6.891,4.015037,0,4682,1,1
153,1,2026-08-24 12:30:16.507417-04,6.898,5.021244,0,4712,1,1
154,1,2026-08-24 12:30:17.51033-04,6.896,4.0206,0,4742,1,1
155,1,2026-08-24 12:30:18.509872-04,6.901,5.024945,0,4772,1,1
156,1,2026-08-24 12:30:19.508967-04,6.9,4.02347,0,4802,1,1
157,1,2026-08-24 12:30:20.514841-04,6.906,5.008387,0,4832,1,1
158,1,2026-08-24 12:30:21.509186-04,6.905,4.008198,0,4862,1,1
159,1,2026-08-24 12:30:22.509687-04,6.912,5.013843,0,4892,1,1
160,1,2026-08-24 12:30:23.509488-04,6.913,4.015699,0,4922,1,1
161,1,2026-08-24 12:30:24.509769-04,6.919,5.020591,0,4952,1,1
162,1,2026-08-24 12:30:25.507817-04,6.919,4.021009,0,4982,1,1
163,1,2026-08-24 12:30:26.50863-04,6.902,5.005597,0,5012,1,1
164,1,2026-08-24 12:30:27.507772-04,6.902,4.005052,0,5042,1,1
165,1,2026-08-24 12:30:28.508708-04,6.908,4.988723,0,5072,1,1
166,1,2026-08-24 12:30:29.507959-04,6.908,3.98903,0,5102,1,1
167,1,2026-08-24 12:30:30.507431-04,6.913,4.994086,0,5132,1,1
168,1,2026-08-24 12:30:31.508588-04,6.911,3.993283,0,5162,1,1
169,1,2026-08-24 12:30:32.508416-04,6.896,5.019698,2,5192,1,1
170,1,2026-08-24 12:30:33.509588-04,6.88,4.019643,2,5222,1,1
171,1,2026-08-24 12:30:34.511288-04,6.88,5.003634,2,5252,1,1
172,1,2026-08-24 12:30:35.508002-04,6.879,4.00331,2,5282,1,1
173,1,2026-08-24 12:30:36.513056-04,6.885,5.008148,2,5312,1,1
174,1,2026-08-24 12:30:37.508721-04,6.885,4.008319,2,5342,1,1
175,1,2026-08-24 12:30:38.509142-04,6.912,5.014637,2,5372,1,1
176,1,2026-08-24 12:30:39.507666-04,6.914,4.01636,2,5402,1,1
177,1,2026-08-24 12:30:40.50922-04,6.899,5.022109,2,5432,1,1
178,1,2026-08-24 12:30:41.508576-04,6.895,4.018516,2,5462,1,1
179,1,2026-08-24 12:30:42.507189-04,6.902,5.004152,2,5492,1,1
180,1,2026-08-24 12:30:43.507117-04,6.902,4.005388,2,5522,1,1
181,1,2026-08-24 12:30:44.507462-04,6.909,5.01104,2,5552,1,1
182,1,2026-08-24 12:30:45.507644-04,6.908,4.010763,2,5582,1,1
183,1,2026-08-24 12:30:46.507944-04,6.913,5.015642,2,5612,1,1
184,1,2026-08-24 12:30:47.508874-04,6.912,4.014201,2,5642,1,1
185,1,2026-08-24 12:30:48.507818-04,6.897,5.020332,2,5672,1,1
186,1,2026-08-24 12:30:49.508689-04,6.896,4.019414,2,5702,1,1
187,1,2026-08-24 12:30:50.508162-04,6.901,5.003061,2,5732,1,1
188,1,2026-08-24 12:30:51.509262-04,6.901,4.002759,2,5762,1,1
189,1,2026-08-24 12:30:52.509472-04,6.905,5.028967,2,5792,1,1
190,1,2026-08-24 12:30:53.508585-04,6.907,4.0317,2,5822,1,1
191,1,2026-08-24 12:30:54.509407-04,6.914,5.015898,2,5852,1,1
192,1,2026-08-24 12:30:55.508528-04,6.914,4.016555,2,5882,1,1
193,1,2026-08-24 12:30:56.510285-04,6.895,5.017744,2,5912,1,1
194,1,2026-08-24 12:30:57.50843-04,6.898,4.022164,2,5942,1,1
195,1,2026-08-24 12:30:58.50995-04,6.924,5.026311,2,5972,1,1
196,1,2026-08-24 12:30:59.509414-04,6.924,4.025904,2,6002,1,1
197,1,2026-08-24 12:31:00.508382-04,6.909,5.032501,2,6032,1,1
198,1,2026-08-24 12:31:01.508686-04,6.907,4.031055,2,6062,1,1
199,1,2026-08-24 12:31:02.50953-04,6.912,5.014661,2,6092,1,1
200,1,2026-08-24 12:31:03.508453-04,6.911,4.014348,2,6122,1,1
201,1,2026-08-24 12:31:04.509327-04,6.917,5.039661,2,6152,1,1
202,1,2026-08-24 12:31:05.507039-04,6.916,4.040466,2,6182,1,1
203,1,2026-08-24 12:31:06.508627-04,6.922,4.997229,2,6212,1,1
204,1,2026-08-24 12:31:07.508448-04,6.922,3.997849,2,6242,1,1
205,1,2026-08-24 12:31:08.508059-04,6.908,5.004442,2,6272,1,1
206,1,2026-08-24 12:31:09.508008-04,6.909,4.005811,2,6302,1,1
207,1,2026-08-24 12:31:10.508346-04,6.91,5.010799,2,6332,1,1
208,1,2026-08-24 12:31:11.509198-04,6.908,4.010809,2,6362,1,1
209,1,2026-08-24 12:31:12.508931-04,6.891,5.014599,2,6392,1,1
210,1,2026-08-24 12:31:13.50849-04,6.891,4.01585,2,6422,1,1
211,1,2026-08-24 12:31:14.50951-04,6.898,4.999521,2,6452,1,1
212,1,2026-08-24 12:31:15.507699-04,6.898,3.999994,2,6482,1,1
213,1,2026-08-24 12:31:16.509499-04,6.901,5.023713,2,6512,1,1
214,1,2026-08-24 12:31:17.509052-04,6.902,4.02619,2,6542,1,1
215,1,2026-08-24 12:31:18.509805-04,6.907,5.009375,2,6572,1,1
216,1,2026-08-24 12:31:19.508167-04,6.906,4.008806,2,6602,1,1
217,1,2026-08-24 12:31:20.507871-04,6.891,5.014102,2,6632,1,1
218,1,2026-08-24 12:31:21.508582-04,6.89,4.01389,2,6662,1,1
219,1,2026-08-24 12:31:22.507888-04,6.916,5.039987,2,6692,1,1
220,1,2026-08-24 12:31:23.512525-04,6.918,4.041886,2,6722,1,1
221,1,2026-08-24 12:31:24.508294-04,6.903,5.000246,2,6752,1,1
222,1,2026-08-24 12:31:25.507156-04,6.904,4.0014,2,6782,1,1
223,1,2026-08-24 12:31:26.508413-04,6.905,5.002071,2,6812,1,1
224,1,2026-08-24 12:31:27.507319-04,6.908,4.005458,2,6842,1,1
225,1,2026-08-24 12:31:28.508764-04,6.908,5.009601,2,6872,1,1
226,1,2026-08-24 12:31:29.507133-04,6.908,4.010925,2,6902,1,1
227,1,2026-08-24 12:31:30.507611-04,6.893,5.016325,2,6932,1,1
228,1,2026-08-24 12:31:31.507546-04,6.892,4.015273,2,6962,1,1
229,1,2026-08-24 12:31:32.508831-04,6.897,4.998648,2,6992,1,1
230,1,2026-08-24 12:31:33.507819-04,6.896,3.998165,2,7022,1,1
231,1,2026-08-24 12:31:34.50863-04,6.901,5.00309,2,7052,1,1
232,1,2026-08-24 12:31:35.509158-04,6.9,4.003395,2,7082,1,1
233,1,2026-08-24 12:31:36.507541-04,6.906,5.007836,2,7112,1,1
234,1,2026-08-24 12:31:37.508996-04,6.906,4.00802,2,7142,1,1
235,1,2026-08-24 12:31:38.508241-04,6.891,5.01484,2,7172,1,1
236,1,2026-08-24 12:31:39.507707-04,6.892,4.016288,2,7202,1,1
237,1,2026-08-24 12:31:40.508569-04,6.898,4.999352,2,7232,1,1
238,1,2026-08-24 12:31:41.50897-04,6.898,3.999903,2,7262,1,1
239,1,2026-08-24 12:31:42.508936-04,6.902,5.024243,2,7292,1,1
240,1,2026-08-24 12:31:43.507945-04,6.903,4.026651,2,7322,1,1
241,1,2026-08-24 12:31:44.509065-04,6.907,5.008352,2,7352,1,1
242,1,2026-08-24 12:31:45.50734-04,6.908,4.010579,2,7382,1,1
243,1,2026-08-24 12:31:46.508416-04,6.892,5.015165,2,7412,1,1
244,1,2026-08-24 12:31:47.50818-04,6.89,4.014549,2,7442,1,1
245,1,2026-08-24 12:31:48.509093-04,6.918,5.019014,2,7472,1,1
246,1,2026-08-24 12:31:49.508294-04,6.917,4.01902,2,7502,1,1
247,1,2026-08-24 12:31:50.509262-04,6.901,5.024621,2,7532,1,1
248,1,2026-08-24 12:31:51.50858-04,6.9,4.024121,2,7562,1,1
249,1,2026-08-24 12:31:52.509789-04,6.906,5.007189,2,7592,1,1
250,1,2026-08-24 12:31:53.509349-04,6.907,4.009396,2,7622,1,1
251,1,2026-08-24 12:31:54.509601-04,6.914,5.036915,2,7652,1,1
252,1,2026-08-24 12:31:55.507552-04,6.914,4.037842,2,7682,1,1
253,1,2026-08-24 12:31:56.510465-04,6.917,4.996811,2,7712,1,1
254,1,2026-08-24 12:31:57.508818-04,6.919,4.000615,2,7742,1,1
255,1,2026-08-24 12:31:58.508664-04,6.902,5.004273,2,7772,1,1
256,1,2026-08-24 12:31:59.509651-04,6.903,4.005286,2,7802,1,1
257,1,2026-08-24 12:32:00.508011-04,6.909,5.032223,2,7832,1,1
258,1,2026-08-24 12:32:01.508643-04,6.908,4.03122,2,7862,1,1
259,1,2026-08-24 12:32:02.508668-04,6.892,5.015553,2,7892,1,1
260,1,2026-08-24 12:32:03.507738-04,6.891,4.014172,2,7922,1,1
261,1,2026-08-24 12:32:04.51073-04,6.896,5.018786,2,7952,1,1
262,1,2026-08-24 12:32:05.507608-04,6.895,4.018738,2,7982,1,1
263,1,2026-08-24 12:32:06.509092-04,6.921,5.023566,2,8012,1,1
